image	occupancy	floors	year	label	prediction	probability
StreetViewx-80.456833x25.442976.png	RESIDENTIAL - TOTAL VALUE : TOWNHOUSE	2	0	RES3	RES3	1.0
StreetViewx-80.449746x25.450030.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999666213989258
StreetViewx-80.421318x25.457946.png	OFFICE BUILDING - ONE STORY : OFFICE BUILDING	0	2010	COM	RES3	1.0
StreetViewx-80.457495x25.459643.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1997	RES1	RES1	0.7445269823074341
StreetViewx-80.459321x25.460699.png	RESIDENTIAL - SINGLE FAMILY : RESIDENTIAL - TOTAL VALUE	2	0	RES1	RES1	0.999930739402771
StreetViewx-80.459092x25.460701.png	RESIDENTIAL - SINGLE FAMILY : RESIDENTIAL - TOTAL VALUE	2	0	RES1	RES1	1.0
StreetViewx-80.461029x25.460957.png	RESIDENTIAL - TOTAL VALUE : CONDOMINIUM - RESIDENTIAL	0	0	RES3	RES3	0.974595069885254
StreetViewx-80.458798x25.461441.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.999912977218628
StreetViewx-80.455038x25.461480.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1989	RES1	RES1	1.0
StreetViewx-80.453187x25.462437.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	1.0
StreetViewx-80.479600x25.462738.png	MULTIFAMILY 2-9 UNITS : MULTIFAMILY 3 OR MORE UNITS	1	0	RES3	RES3	0.7574777603149414
StreetViewx-80.435774x25.463356.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2012	RES1	COM	0.9703179001808168
StreetViewx-80.500308x25.463389.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1979	RES1	RES1	1.0
StreetViewx-80.500217x25.463744.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	COM	0.6941254734992981
StreetViewx-80.501351x25.464240.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1979	RES1	RES3	0.8515942692756653
StreetViewx-80.423845x25.464335.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2016	RES1	COM	0.6320770978927612
StreetViewx-80.482470x25.464847.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	2012	RES1	RES3	0.992002010345459
StreetViewx-80.431098x25.465434.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2010	RES1	RES1	0.9999490976333618
StreetViewx-80.498385x25.465849.png	MULTIFAMILY 2-9 UNITS : MULTIFAMILY 3 OR MORE UNITS	1	1975	RES3	RES1	0.9999462366104126
StreetViewx-80.424480x25.466229.png	RESIDENTIAL - SINGLE FAMILY : ADDITIONAL LIVING QUARTERS	2	2016	RES1	RES1	1.0
StreetViewx-80.480957x25.466281.png	RESTAURANT OR CAFETERIA : RETAIL OUTLET	1	0	COM	COM	0.9869456887245178
StreetViewx-80.449553x25.466763.png	RESIDENTIAL - TOTAL VALUE : TOWNHOUSE	2	0	RES3	RES3	0.9999556541442872
StreetViewx-80.422335x25.467288.png	RESIDENTIAL - SINGLE FAMILY : ADDITIONAL LIVING QUARTERS	2	2014	RES1	RES3	0.895112931728363
StreetViewx-80.500614x25.467879.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1977	RES1	RES3	0.9994169473648072
StreetViewx-80.480422x25.468148.png	AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE	1	1947	COM	RES1	0.9766761660575868
StreetViewx-80.463581x25.470327.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2003	RES1	RES1	1.0
StreetViewx-80.483179x25.471037.png	MULTIFAMILY 2-9 UNITS : MULTIFAMILY 3 OR MORE UNITS	1	2006	RES3	RES3	0.7665843367576599
StreetViewx-80.494758x25.471392.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1998	RES1	RES1	0.8661762475967407
StreetViewx-80.481864x25.471835.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	0	RES1	RES1	0.9999895095825196
StreetViewx-80.422324x25.472795.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.999954342842102
StreetViewx-80.488405x25.473803.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1970	RES1	RES3	0.9877446293830872
StreetViewx-80.488240x25.474158.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1979	RES1	RES1	0.9998279809951782
StreetViewx-80.483321x25.474767.png	MULTIFAMILY 2-9 UNITS : 2 LIVING UNITS	1	1980	RES3	RES3	0.9998733997344972
StreetViewx-80.487807x25.474954.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	2012	RES1	RES1	0.9999955892562866
StreetViewx-80.478444x25.475060.png	PARKING LOT/MOBILE HOME PARK : PARKING LOT	0	1988	COM	RES3	1.0
StreetViewx-80.476688x25.475534.png	STORE : RETAIL OUTLET	1	1981	COM	COM	0.9997515082359314
StreetViewx-80.486901x25.475701.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1987	RES1	RES1	0.9969063401222228
StreetViewx-80.481216x25.475835.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	COM	0.97846120595932
StreetViewx-80.492459x25.477290.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	2012	RES1	RES3	0.9777938723564148
StreetViewx-80.481931x25.477808.png	MULTIFAMILY 2-9 UNITS : MULTIFAMILY 3 OR MORE UNITS	1	0	RES3	RES1	0.9838637113571168
StreetViewx-80.488142x25.479182.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	2012	RES1	RES1	1.0
StreetViewx-80.482851x25.479353.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	RES1	0.9983533620834352
StreetViewx-80.457776x25.479381.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1965	RES1	RES1	0.9999953508377076
StreetViewx-80.455775x25.479412.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1985	RES1	RES3	0.9974628686904908
StreetViewx-80.484081x25.479614.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	2	1976	RES1	RES1	0.9775210022926332
StreetViewx-80.477759x25.481891.png	HOTEL OR MOTEL : MOTEL	2	1971	COM	RES3	0.9998852014541626
StreetViewx-80.482931x25.482372.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	RES1	0.99999737739563
StreetViewx-80.483127x25.482784.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1958	RES1	RES3	0.8259868025779724
StreetViewx-80.479042x25.483024.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1979	RES1	RES1	1.0
StreetViewx-80.493216x25.483206.png	MULTIFAMILY 2-9 UNITS : 2 LIVING UNITS	1	1993	RES3	RES1	0.8261968493461609
StreetViewx-80.487493x25.483719.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	RES1	0.9999477863311768
StreetViewx-80.493115x25.484600.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1972	RES1	RES1	0.9999997615814208
StreetViewx-80.491694x25.484632.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	RES1	0.9999953508377076
StreetViewx-80.488212x25.484684.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1970	RES1	RES3	0.9999933242797852
StreetViewx-80.496987x25.485021.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1991	RES1	RES1	0.9999997615814208
StreetViewx-80.482579x25.485371.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	COM	0.996213972568512
StreetViewx-80.487450x25.485547.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	0	RES1	RES1	0.9999997615814208
StreetViewx-80.483171x25.485562.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1977	RES1	RES1	0.9993908405303956
StreetViewx-80.412711x25.485590.png	RESIDENTIAL - SINGLE FAMILY : RESIDENTIAL - TOTAL VALUE	2	0	RES1	RES3	0.999988317489624
StreetViewx-80.482861x25.485675.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1994	RES1	RES1	0.9874280095100404
StreetViewx-80.414152x25.485883.png	RESIDENTIAL - SINGLE FAMILY : RESIDENTIAL - TOTAL VALUE	2	2018	RES1	RES1	0.9996339082717896
StreetViewx-80.414610x25.485901.png	RESIDENTIAL - SINGLE FAMILY : RESIDENTIAL - TOTAL VALUE	2	2018	RES1	RES1	0.9974331259727478
StreetViewx-80.475166x25.486572.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	2007	RES1	RES1	0.9999935626983644
StreetViewx-80.478211x25.486779.png	PARKING LOT/MOBILE HOME PARK : PARKING LOT	1	2001	COM	RES3	0.9888485670089722
StreetViewx-80.483910x25.487148.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1980	RES1	RES1	0.9999988079071044
StreetViewx-80.491094x25.487506.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1993	RES1	RES1	0.9999992847442628
StreetViewx-80.481384x25.487749.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1995	RES1	RES1	0.9406759142875672
StreetViewx-80.484566x25.489665.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1969	RES1	RES1	0.6577839851379395
StreetViewx-80.352405x25.559407.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES3	0.9999996423721312
StreetViewx-80.354025x25.559425.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.904038906097412
